PrecinctName,CityName,SeattleCouncilDistrict
SEA 43-2035,Seattle,3
SEA 43-2037,Seattle,3
SEA 43-2038,Seattle,3
SEA 43-2039,Seattle,3
SEA 43-2040,Seattle,3
SEA 43-2043,Seattle,4
SEA 43-2052,Seattle,4
SEA 43-2057,Seattle,4
SEA 43-2058,Seattle,3
SEA 43-2059,Seattle,3
SEA 43-2061,Seattle,3
SEA 43-2064,Seattle,4
SEA 43-2090,Seattle,4
SEA 43-2104,Seattle,3
SEA 43-2105,Seattle,3
SEA 43-2113,Seattle,4
SEA 43-2541,Seattle,3
SEA 43-2542,Seattle,3
SEA 43-2543,Seattle,3
SEA 43-2544,Seattle,7
SEA 43-2545,Seattle,3
SEA 43-2546,Seattle,3
SEA 43-2547,Seattle,3
SEA 43-2549,Seattle,3
SEA 43-2550,Seattle,3
SEA 43-2749,Seattle,7
SEA 43-2750,Seattle,7
SEA 43-2850,Seattle,6
SEA 43-2852,Seattle,3
SEA 43-2853,Seattle,3
SEA 43-2861,Seattle,3
SEA 43-2862,Seattle,7
SEA 43-2928,Seattle,3
SEA 43-3267,Seattle,7
SEA 43-3320,Seattle,7
SEA 43-3341,Seattle,7
SEA 43-3345,Seattle,7
SEA 43-3424,Seattle,3
SEA 43-3496,Seattle,7
SEA 43-3566,Seattle,7
SEA 43-3570,Seattle,7
SEA 43-3571,Seattle,7
SEA 43-3595,Seattle,3
SEA 43-3605,Seattle,7
SEA 43-3628,Seattle,7
SEA 43-3665,Seattle,7
SEA 43-3669,Seattle,7
SEA 43-3679,Seattle,7
SEA 43-3686,Seattle,7
SEA 43-3700,Seattle,7
SEA 43-3701,Seattle,7
SEA 43-3705,Seattle,7
SEA 43-3719,Seattle,7
SEA 43-3747,Seattle,7
SEA 43-3748,Seattle,4
SEA 43-3749,Seattle,7
SEA 43-3750,Seattle,7
SEA 43-3776,Seattle,3
SEA 43-3803,Seattle,3
SEA 43-3804,Seattle,3
SEA 43-3807,Seattle,7
SEA 43-3875,Seattle,7
SEA 43-3876,Seattle,7
SEA 43-3877,Seattle,7
SEA 43-3934,Seattle,7
SEA 43-3947,Seattle,3
SEA 43-3949,Seattle,3
SEA 43-3951,Seattle,4
SEA 43-3974,Seattle,3
SEA 43-3975,Seattle,7
SEA 43-3986,Seattle,7
SEA 43-3997,Seattle,3
SEA 43-4010,Seattle,3
SEA 46-1262,Seattle,6
SEA 46-1263,Seattle,6
SEA 46-1264,Seattle,6
SEA 46-1265,Seattle,6
SEA 46-1266,Seattle,6
SEA 46-1267,Seattle,6
SEA 46-1268,Seattle,6
SEA 46-1269,Seattle,6
SEA 46-1271,Seattle,4
SEA 46-1272,Seattle,6
SEA 46-1274,Seattle,6
SEA 46-1275,Seattle,6
SEA 46-1277,Seattle,6
SEA 46-1278,Seattle,6
SEA 46-1279,Seattle,4
SEA 46-1280,Seattle,6
SEA 46-1282,Seattle,6
SEA 46-1283,Seattle,6
SEA 46-1284,Seattle,6
SEA 46-1285,Seattle,6
SEA 46-1292,Seattle,6
SEA 46-1300,Seattle,6
SEA 46-1309,Seattle,6
SEA 46-1310,Seattle,6
SEA 46-1311,Seattle,5
SEA 46-1312,Seattle,6
SEA 46-1313,Seattle,6
SEA 46-1314,Seattle,6
SEA 46-1357,Seattle,4
SEA 46-1358,Seattle,4
SEA 46-1369,Seattle,4
SEA 46-1370,Seattle,4
SEA 46-1371,Seattle,4
SEA 46-1400,Seattle,5
SEA 46-1401,Seattle,5
SEA 46-1402,Seattle,5
SEA 46-1403,Seattle,5
SEA 46-1404,Seattle,5
SEA 46-1406,Seattle,6
SEA 46-1952,Seattle,4
SEA 46-1953,Seattle,4
SEA 46-1954,Seattle,4
SEA 46-1955,Seattle,4
SEA 46-1957,Seattle,4
SEA 46-1959,Seattle,4
SEA 46-1961,Seattle,4
SEA 46-1964,Seattle,4
SEA 46-1965,Seattle,4
SEA 46-1966,Seattle,4
SEA 46-1967,Seattle,4
SEA 46-1975,Seattle,4
SEA 46-2044,Seattle,4
SEA 46-2045,Seattle,4
SEA 46-2047,Seattle,6
SEA 46-2048,Seattle,4
SEA 46-2049,Seattle,4
SEA 46-2050,Seattle,4
SEA 46-2056,Seattle,4
SEA 46-2065,Seattle,4
SEA 46-2068,Seattle,4
SEA 46-2069,Seattle,4
SEA 46-2071,Seattle,4
